t,phase,n,n_normal,p_used_gf,p_lplc2_only,mean_z_gf,mean_z_lplc2,mean_leak_share,mean_fitness
0,select,400,400,1.0,0.0,-0.0010270870554324877,-0.002241135793601009,0.3748358077220907,0.4998152623723265
1,select,380,0,1.0,0.0,-0.001859847629997315,0.00010114154447505479,0.375614084378033,0.49976174900855697
2,select,376,0,1.0,0.0,-0.0034262724182755485,0.0019541311288014318,0.37554093395029403,0.4996791194658686
3,select,362,0,1.0,0.0,-0.000957571374508274,0.001457352763928587,0.3752087069032069,0.4996208285741435
4,select,358,0,1.0,0.0,-0.0037127920316256838,0.0020834141466173155,0.37611322210133313,0.4995592695494759
5,select,348,0,1.0,0.0,-0.005985442691171462,0.0004931111655320329,0.37547958290777145,0.4994937065697272
6,select,324,0,1.0,0.0,-0.006008057114008815,-0.0032439143345989706,0.3745505102113011,0.49945840832456473
7,select,316,0,1.0,0.0,-0.0023197945777350135,-0.010059606504541293,0.37300507176938413,0.4993564456406815
8,select,312,0,0.9967948717948718,0.003205128205128205,-0.007448596120771276,-0.015754362602571775,0.3717539979553135,0.5009015231396392
9,select,288,0,1.0,0.0,-0.01064075129239045,-0.014756297352481093,0.3723390300812859,0.49921874602041566
10,select,274,0,1.0,0.0,-0.014831538539150974,-0.014597294123881758,0.3730885033174595,0.4991656712873275
11,select,250,0,0.98,0.02,-0.019923921404161368,-0.011911790228879858,0.3732224019633803,0.5090547968545168
12,select,230,0,0.9826086956521739,0.017391304347826087,-0.026900709819382463,-0.009931151396384575,0.3748255636696749,0.5076081568764248
13,select,228,0,0.9824561403508771,0.013157894736842105,-0.02712112333922486,-0.010676126970791322,0.3763527643746778,0.5065343677137133
14,select,230,0,0.991304347826087,0.008695652173913044,-0.03575636740708455,-0.01246407563558496,0.37573474041567834,0.5031882897029887
15,select,212,0,0.9481132075471698,0.05188679245283019,-0.049543612854570304,-0.013440341974025855,0.3758610427290323,0.5245339686720946
16,select,202,0,0.9653465346534653,0.0297029702970297,-0.06115514227110989,-0.013120747363477235,0.37588489574815526,0.5146258113261883
17,select,205,0,0.9560975609756097,0.04390243902439024,-0.061722902084839354,-0.005668194350086144,0.3771673729936495,0.520338001518629
18,select,174,0,0.9252873563218391,0.07471264367816093,-0.06083339405585331,0.0016291886431873375,0.37851221130606283,0.5356004961389323
19,select,180,0,0.9666666666666667,0.03333333333333333,-0.06660765104623156,-0.0007834524546382557,0.37798330207654823,0.5149419001888399
20,select,180,0,0.9111111111111111,0.07777777777777778,-0.06443239481195202,0.004383002828672553,0.3792699433130429,0.5397835614352757
21,select,199,0,0.9447236180904522,0.04522613065326633,-0.07669001280819256,0.0050880134182901045,0.3796076829103123,0.5232056223135308
22,select,198,0,0.8484848484848485,0.13636363636363635,-0.08452213878824226,-0.005265697092412014,0.3773248171162908,0.5694013464561216
23,select,225,0,0.84,0.13777777777777778,-0.10306247162793296,-0.013952481419485158,0.37519210919544826,0.5717387028802242
24,select,247,0,0.7854251012145749,0.18218623481781376,-0.11275846635680971,-0.021348624694146088,0.37052942656080357,0.5960914045095929
25,select,295,0,0.752542372881356,0.2,-0.13073738094988155,-0.025030912691540955,0.36892294052955255,0.6086544007519464
26,select,320,0,0.725,0.240625,-0.1465944280571107,-0.0224181078968129,0.36735906145430064,0.6251669736512537
27,select,400,0,0.645,0.2925,-0.17735711440656302,-0.018153629493436102,0.3674980904250853,0.6575214353266037
28,select,400,0,0.5675,0.3825,-0.1961824221568874,-0.027195507220377942,0.36234237029079674,0.6987189043971749
29,select,400,0,0.51,0.415,-0.2216341908555191,-0.02855732138538179,0.36269122046484925,0.7205268723059448
30,select,400,0,0.46,0.48,-0.23217652580841136,-0.02980886890158029,0.3620949758012054,0.7490365056987524
31,select,400,0,0.4275,0.4925,-0.2456042781766274,-0.03741738057998062,0.3589613490042375,0.7600809730963087
32,select,400,0,0.3625,0.5625,-0.25687032441018365,-0.03922707606394468,0.35410325592524117,0.7933517414921265
33,select,400,0,0.3375,0.5875,-0.28042105368410103,-0.03530093818305999,0.3524182905769726,0.8048141551751269
34,select,400,0,0.28,0.6475,-0.2961941396961111,-0.02682324290708209,0.354027026049605,0.8337162618254241
35,select,400,0,0.255,0.66,-0.29642553320612447,-0.02930647225451636,0.351611930441704,0.8429609649738594
36,select,400,0,0.2225,0.6875,-0.3179116763943688,-0.03066451615921692,0.351514851264038,0.8573198992024825
37,select,400,0,0.205,0.7025,-0.31987215616736686,-0.02877615642779028,0.3505467533210536,0.8650731965282581
38,select,400,0,0.18,0.7525,-0.3283739033298561,-0.0186015954959995,0.3531612862251597,0.8836010814718079
39,select,400,0,0.18,0.7225,-0.33131152555932614,-0.02554757796858627,0.35106217925559124,0.875928380845306
40,select,400,0,0.16,0.7225,-0.3407988389397886,-0.029124096853058105,0.3485400802940444,0.8805443407035537
41,outcross,400,200,0.59,0.3675,-0.16938779689310365,-0.011846715034442646,0.3621753434518571,0.994338420412941
42,follow,400,0,0.655,0.3075,-0.16910364369305542,-0.011057780251619085,0.36530089289913303,0.9950269689816683
43,follow,400,0,0.655,0.325,-0.17630350545428278,-0.0058475843935032416,0.36601926021897296,0.9947788745922437
44,follow,400,0,0.6325,0.35,-0.17971963986223938,0.002134198402870705,0.36687869006691776,0.9944700983062276
45,follow,400,0,0.61,0.365,-0.18970466084342155,-0.0068338869786054215,0.36527813195860537,0.9941484688853334
46,follow,400,0,0.63,0.36,-0.18296831525109972,-0.005547202927627095,0.36645767058657325,0.9938524451560611
47,follow,400,0,0.665,0.325,-0.18030987754764766,-0.008916743268497722,0.3666847971788876,0.9941214034697246
