t,phase,n,n_normal,p_used_gf,p_lplc2_only,mean_z_gf,mean_z_lplc2,mean_leak_share,mean_fitness
0,select,400,400,1.0,0.0,-0.00019114919699899274,0.0003041089564080064,0.37531726679045946,0.4998067569642577
1,select,382,0,1.0,0.0,0.0004698989122462583,0.0023239406270620915,0.37539798411862324,0.4997531655355022
2,select,374,0,1.0,0.0,-0.0012649751265204855,0.0031662313628288657,0.37555710975285417,0.49968261083741045
3,select,358,0,1.0,0.0,-0.0023889272191021196,0.0038413262179421417,0.3755261028061736,0.4996177547378955
4,select,326,0,1.0,0.0,-0.00037980077928756294,0.0028931547752580216,0.37585550201414336,0.49952516703438593
5,select,308,0,1.0,0.0,-0.00446088972445471,0.008042850068820507,0.37571495892671103,0.4994636418288766
6,select,304,0,1.0,0.0,-0.006361779938098041,0.006109847266779474,0.375088038282263,0.4994425814692098
7,select,296,0,1.0,0.0,-0.006444142856994414,0.007545021626298636,0.3748686444058109,0.49933250049244726
8,select,290,0,1.0,0.0,-0.004865752289871796,0.007830046969518492,0.37492482245998127,0.49928111398089525
9,select,280,0,1.0,0.0,-0.0022901129148696583,0.008138845177166428,0.3761689549352009,0.4991261551819826
10,select,274,0,1.0,0.0,-0.003427816514990229,0.0067899394280039604,0.3761901821573678,0.499102813789957
11,select,270,0,1.0,0.0,-0.002722423137068429,0.006035140752099644,0.3749761298148646,0.4990535386562303
12,select,266,0,0.9924812030075187,0.007518796992481203,-0.004450142961395539,0.0015092887150645819,0.3748101422197478,0.5027183204104212
13,select,248,0,0.9959677419354839,0.004032258064516129,-0.0035178457601283773,-0.005382793074624569,0.37217020166176984,0.5008851020957928
14,select,250,0,0.992,0.008,-0.008794907145133096,-0.0017901859176121125,0.37141990946933595,0.5028681447102596
15,select,238,0,0.9873949579831933,0.012605042016806723,-0.0022822458110394322,0.0021717603203136463,0.371978029479587,0.50502261295218
16,select,236,0,0.9915254237288136,0.00423728813559322,-0.006594820117549516,-0.00042105577669844117,0.37090080901727646,0.5019034966018817
17,select,227,0,0.9911894273127754,0.00881057268722467,-0.011424989540168228,0.0015545062185944696,0.37226155387738524,0.5030003922968435
18,select,228,0,0.9824561403508771,0.017543859649122806,-0.013761996330061138,0.002838340339898428,0.3736708563089994,0.5072979586924415
19,select,210,0,0.9761904761904762,0.023809523809523808,-0.011044979758484744,-0.002212078792349515,0.37159600138720444,0.5103558357749856
20,select,204,0,0.9852941176470589,0.014705882352941176,-0.02239557606908665,-0.004828917418718275,0.37289351304997714,0.5056507676601445
21,select,198,0,0.9848484848484849,0.005050505050505051,-0.029027305916074872,-0.010927065834624796,0.3712148469250691,0.5033189491219755
22,select,199,0,0.9597989949748744,0.04020100502512563,-0.029340055571420717,-0.012719505859433941,0.3718059359644753,0.5181712439399445
23,select,196,0,0.9438775510204082,0.04591836734693878,-0.033323960691412274,-0.0258789778838465,0.3687202403428529,0.5233978550208549
24,select,205,0,0.9317073170731708,0.04878048780487805,-0.04377565202234703,-0.025450167647864477,0.3678567828344353,0.5270859550173667
25,select,198,0,0.9191919191919192,0.04040404040404041,-0.046195816285714925,-0.019097579315866947,0.36927043961695133,0.5280658256188698
26,select,201,0,0.945273631840796,0.014925373134328358,-0.042613686994739,-0.01072017104971595,0.3707167173182593,0.5151230093819317
27,select,205,0,0.926829268292683,0.06341463414634146,-0.05262475472219444,-0.01260119939383931,0.3724152582334164,0.5318247228101531
28,select,216,0,0.9027777777777778,0.06481481481481481,-0.04822665569467701,-0.0019017695524953546,0.37379614663016375,0.5380423588939721
29,select,215,0,0.9162790697674419,0.06046511627906977,-0.051533222918854996,0.010745490911462608,0.37377897860321463,0.5334606244576108
30,select,218,0,0.8853211009174312,0.0779816513761468,-0.06310889606577619,0.007311304747638711,0.373875628289312,0.5453566683904012
31,select,212,0,0.8820754716981132,0.0660377358490566,-0.07322326709320007,-0.0015289322599789437,0.37062806343298116,0.5432878659404182
32,select,210,0,0.8476190476190476,0.12857142857142856,-0.08027051333774139,-0.0008544363515847089,0.36815145270877553,0.5672258754409157
33,select,228,0,0.8245614035087719,0.13157894736842105,-0.08769340830457324,-0.010515511554779037,0.3644543040398083,0.573520865241893
34,select,212,0,0.7924528301886793,0.16981132075471697,-0.1085048824833253,-0.0029427448553228527,0.3648988173357008,0.5907312418927676
35,select,241,0,0.7261410788381742,0.23651452282157676,-0.11957117687058552,-0.006186029460829519,0.3586498138885466,0.6234749427228461
36,select,289,0,0.6643598615916955,0.2664359861591695,-0.1451038302397421,0.0003565400085788256,0.3603080318677955,0.6458716717481576
37,select,379,0,0.6411609498680739,0.3087071240105541,-0.16067407808259057,-6.269860242431052e-06,0.3574122880794154,0.6617441530261702
38,select,400,0,0.595,0.3575,-0.17235753599283649,-0.003066534708879142,0.35626722833919444,0.6854136501590432
39,select,400,0,0.575,0.35,-0.17991441916333467,-0.006685209565824773,0.3558498403247411,0.6880452008165886
40,select,400,0,0.5825,0.3525,-0.18408573847902543,-0.009148806189421809,0.3567365000523728,0.6865817834666892
41,outcross,400,200,0.7675,0.1875,-0.10093512953959113,0.0017756199985880495,0.366339444107669,0.9958389789317164
42,follow,400,0,0.8325,0.1425,-0.10144393365607106,0.00669052298809452,0.36857972765354263,0.9959492331493981
